Order,Clutch,Stimulus,LtoHhours,LtoHmins,FirstVsConsistent
1,254,H,0.28,16.8,1st
7,254,T,0.01,0.6,1st
5,254,H,0.395,23.7,Consistent
13,254,T,0.025,1.5,Consistent
18,255,H,0.22,13.2,1st
27,255,T,0.045,2.7,1st
25,255,H,0.275,16.5,Consistent
31,255,T,NA,NA,Consistent
33,256,H,0.2,12,1st
45,256,T,0.06,3.6,1st
41,256,H,0.34666667,20.8000002,Consistent
47,256,T,0.033333,1.99998,Consistent
55,257,H,0.4,24,1st
59,257,T,0.07,4.2,1st
61,257,H,0.265,15.9,Consistent
65,257,T,0.045,2.7,Consistent
71,258,H,0.48,28.8,1st
81,258,T,0.035,2.1,1st
75,258,H,0.29,17.4,Consistent
85,258,T,0.02,1.2,Consistent
92,259,H,0.35,21,1st
98,259,T,0.07,4.2,1st
95,259,H,0.34,20.4,Consistent
103,259,T,0.075,4.5,Consistent
109,262,H,0.51,30.6,1st
121,262,T,0.07,4.2,1st
151,262,H,0.4,24,Consistent
131,262,T,0.015,0.9,Consistent
136,263,H,0.38,22.8,1st
147,263,T,0.03,1.8,1st
149,263,H,0.295,17.7,Consistent
155,263,T,0,0,Consistent
157,264,H,0.28,16.8,1st
165,264,T,0.06667,4.0002,1st
173,264,H,0.27,16.2,Consistent
179,264,T,0.025,1.5,Consistent
187,265,H,0.485,29.1,1st
193,265,T,0.045,2.7,1st
191,265,H,0.38,22.8,Consistent
197,265,T,0.035,2.1,Consistent
205,266,H,0.46,27.6,1st
213,266,T,0.01,0.6,1st
207,266,H,0.345,20.7,Consistent
219,266,T,0,0,Consistent
