Clutch,Stimulus,FirstAgeBlock,Embryosizefirst,Devstagefirst,ConsistentAgeBlock,Embryosizelast,Devstagelast
254,H,81,8.3,2,87,9.6425,3
255,H,84,8.466,2,93,9.0645,4
256,H,81,8.11,2,90,8.85,3
257,H,90,8.808,2,96,9.7785,4
258,H,87,8.3965,2,93,9.09,3
259,H,87,8.404,2,93,8.82,2.5
262,H,84,9.021,2,90,9.8285,3
263,H,81,8.466,2,93,9.7835,4
264,H,78,7.863,1,90,9.4565,3
265,H,87,9.2,2.5,90,9.326,3.5
266,H,87,9.086,2,90,9.199,3
254,T,90,9.397,3,99,10.7355,6
255,T,93,9.1725,4,99,9.717,6
256,T,96,9.841,5,99,9.7655,5
257,T,93,9.139,4,99,9.615,5
258,T,99,9.427,5,105,9.556,6
259,T,93,9.132,3,102,9.963,5
262,T,96,10.024,5,111,10.783,7
263,T,93,10.177,6,102,10.999,6
264,T,84,8.852,3,99,10.368,6
265,T,90,9.0165,4,96,9.725,6
266,T,96,9.206,5,105,10.4335,6
