Clutch,AgeBlock,Stimulus,NumH,MeanLength,Stage
254,81,H,1,8.6955,2
254,84,H,2,8.8275,2.5
254,87,H,2,9.6425,3
254,90,T,1,9.3935,3
254,93,T,1,9.6525,4.5
254,96,T,2,10.294,5
254,99,T,2,10.7355,6
255,81,H,0,8.2285,2
255,84,H,1,8.5905,2
255,87,H,1,8.6165,2
255,90,H,2,9.098,3
255,90,T,0,8.841,3
255,93,H,2,9.0645,4
255,93,T,2,9.1725,4
255,96,T,1,9.5665,4
255,99,T,2,9.717,6
256,81,H,1,8.274,2
256,84,H,1,8.613,2
256,87,H,2,8.718,2.5
256,90,H,2,8.85,3
256,90,T,0,8.824,3
256,93,T,0,8.757,3
256,96,T,2,9.841,5
256,99,T,2,9.7655,5
257,81,H,0,7.923,2
257,84,H,0,7.9645,2
257,87,H,0,8.373,2.5
257,90,H,1,8.4555,2
257,93,H,2,9.115,3
257,93,T,1,9.4025,4
257,96,H,2,9.7785,4
257,96,T,2,9.5825,3.5
257,99,T,2,9.615,5
258,81,H,0,7.878,1.5
258,84,H,0,7.772,2
258,87,H,2,8.3965,2
258,90,H,0,8.322,2
258,93,H,2,9.09,3
258,93,T,0,8.643,3
258,96,T,0,9.2905,5
258,99,T,2,9.427,5
258,102,T,1,9.88,5
258,105,T,2,9.556,6
259,81,H,0,7.1055,1.5
259,84,H,0,8.038,2
259,87,H,1,8.5455,2
259,90,H,2,8.6855,2
259,93,H,2,8.82,2.5
259,93,T,1,9.113,3
259,96,T,0,9.381,3
259,99,T,2,9.442,5
259,102,T,2,9.963,5
262,78,H,0,7.8915,2
262,81,H,0,8.3505,1.5
262,84,H,1,8.7765,2
262,87,H,2,8.741,2.5
262,87,T,0,8.9575,3
262,90,H,2,9.8285,3
262,90,T,0,9.3485,3
262,93,T,0,9.5985,4
262,96,T,1,9.912,5.5
262,99,T,2,9.9975,6
262,102,T,1,9.682,6
262,105,T,1,10.225,6
262,108,T,1,10.639,7
262,111,T,2,10.783,8
263,78,H,0,8.4645,2
263,81,H,1,8.4835,2
263,84,H,0,9.042,2
263,87,H,1,9.2955,2
263,87,T,0,9.045,3
263,90,H,2,9.8345,4
263,90,T,0,9.239,4
263,93,H,2,9.7835,4
263,93,T,1,9.8965,6
263,96,T,2,10.2075,6
263,99,T,1,10.3515,6
263,102,T,2,10.999,6
264,78,H,1,8.0575,1
264,81,H,1,8.3345,2
264,81,T,0,8.3345,2
264,84,H,1,9.001,2
264,84,T,1,8.397,2.5
264,87,H,2,9.256,3
264,87,T,0,8.8445,2.5
264,90,H,2,9.4565,3
264,90,T,1,9.232,3
264,93,T,0,9.8235,4
264,96,T,2,9.904,5.5
264,99,T,2,10.368,6
265,78,H,0,7.6325,1
265,81,H,0,8.3345,2
265,84,H,0,8.976,2
265,87,H,2,9.2,2.5
265,87,T,0,9.2,3
265,90,H,2,9.326,3.5
265,90,T,2,9.0165,4
265,93,T,1,9.3035,4
265,96,T,2,9.725,6
266,78,H,0,7.661,1
266,81,H,0,7.9975,2
266,84,H,0,8.2715,2
266,87,H,2,9.086,2
266,90,H,2,9.199,3
266,90,T,0,8.6825,3.5
266,93,T,0,9.221,4
266,96,T,1,9.204,5
266,99,T,2,9.932,6
266,102,T,1,9.807,6
266,105,T,2,10.4335,6
