SORT ORDER FROM VOR DATA (earlier spreadsheets),Date,Stimulus,Clutch,AgeBlock,AgeDays,Block,Individual,StimulusTime,EndStimulusTime,StimHour,StimMin,StimTime,Response,NumH,HatchHour,HatchMin,HatchTime,TtoHhours,TtoH,HatchAge,timefirstH,HsinceH,AmpR,R2,AmpL,R2,AverageR2,Average Amp,YintRight,YintLeft,DiffRandL,"Picture Number/VORseries (WhiteSJKknownmatch,GreenJJfromsortedfolders)",JJPic#s,AlinaPic#s,"Rupture (0 delay, 1 failure)",RuptureTime,Notes,PhotoSeries,Image#(face),TadImage,TadLength,SUM of trait values,,NumH(repeat),Mean length,Stage (mean)
1,20150811,H,254,81,3,9,1,9:00_9:02,9:40_9:47,9,0,9,Hatched,1,9,17,9.28,0.28,16.8,81.28333333,81.28333333,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,437,8.3,2,,1,8.6955,2
2,20150811,H,254,81,3,9,2,9:00_9:02,9:40_9:47,9,0,9,Not Hatched,1,NA,NA,NA,NA,NA,NA,81.28333333,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,439,9.091,2,,NA,,
3,20150811,H,254,84,3,12,3,12:00_12:02,12:40_12:42,12,0,12,Hatched,2,12,25,12.42,0.42,25.2,84.41666667,81.28333333,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,513,8.891,2,,2,8.8275,2.5
4,20150811,H,254,84,3,12,4,12:00_12:02,12:40_12:42,12,0,12,Hatched,NA,12,16,12.27,0.27,16.2,84.26666667,81.28333333,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,515,8.764,3,,NA,,
5,20150811,H,254,87,3,15,5,14:56_15:00,15:40_15:44,14,56,14.93,Hatched,2,15,16,15.27,0.34,20.4,87.26666667,81.28333333,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,621,9.93,3,,2,9.6425,3
6,20150811,H,254,87,3,15,6,14:56_15:00,15:40_15:44,14,56,14.93,Hatched,NA,15,23,15.38,0.45,27,87.38333333,81.28333333,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,623,9.355,3,,NA,,
7,20150811,T,254,90,3,18,1,,,18,1,18.02,Hatched,1,18,2,18.03,0.01,0.6,90.03333333,90.03333333,-0.03333333,12.7991005,0.870985558,9.477761756,0.739944701,0.805465129,11.13843113,-1.00E+01,4.15E+00,-14.20184578,7091-7120,7091-7120,,,,,,,673,9.397,3,,1,9.3935,3
8,20150811,T,254,90,3,18,2,,,18,1,18.02,Not Hatched,1,NA,NA,NA,NA,NA,NA,90.03333333,-0.03333333,4.222067231,0.456053935,3.404096415,0.274492866,0.3652734,3.813081823,-1.13E+01,1.03E+01,-21.5928733,7121-7148,7121-7148,,,,,,,676,9.39,3,,NA,,
9,20150811,T,254,93,3,21,3,,,21,0,21,Hatched,1,21,5,21.08,0.08,4.8,93.08333333,90.03333333,2.96666667,15.27926933,0.895291829,19.4096552,0.892867119,0.894079474,17.34446227,-2.00E+00,6.35E+00,-8.35464047,7284-7309,7284-7309,,,,,,,758,9.638,4,,1,9.6525,4.5
10,20150811,T,254,93,3,21,4,,,21,0,21,Not Hatched,1,NA,NA,NA,NA,NA,NA,90.03333333,2.96666667,6.159287944,0.607663651,11.20284118,0.792008722,0.699836186,8.68106456,-4.25E+00,6.07E+00,-10.31706583,7311-7340,7311-7340,,,,,,,781,9.667,5,,NA,,
